risk_event_id,project_id,mp_id,mp_name,detected_on,risk_score,risk_level,risk_reason,review_status,data_type
RE00004817,P00880,MP041,Meena Sharma,2025-06-28,34.5,LOW,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00004818,P00880,MP041,Meena Sharma,2025-06-12,16.6,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00004819,P00881,MP048,Priya Joshi,2025-12-05,15.6,LOW,Routine monitoring review,Unreviewed,SYNTHETIC_DEMO
RE00004820,P00881,MP048,Priya Joshi,2026-06-18,26.4,LOW,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00004821,P00881,MP048,Priya Joshi,2025-03-30,26.2,LOW,Delay risk increased,Unreviewed,SYNTHETIC_DEMO
RE00004822,P00881,MP048,Priya Joshi,2025-08-27,22.6,LOW,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00004823,P00882,MP055,Arjun Nair,2026-04-11,42.1,MEDIUM,Potential duplicate detected,Reviewed,SYNTHETIC_DEMO
RE00004824,P00882,MP055,Arjun Nair,2025-06-28,61.3,MEDIUM,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00004825,P00882,MP055,Arjun Nair,2026-08-13,77.9,HIGH,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00004826,P00882,MP055,Arjun Nair,2025-12-11,70.3,HIGH,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00004827,P00882,MP055,Arjun Nair,2025-10-13,77.5,HIGH,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00004828,P00882,MP055,Arjun Nair,2026-03-19,79.7,HIGH,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00004829,P00883,MP002,Rahul Singh,2025-02-24,47.4,MEDIUM,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00004830,P00883,MP002,Rahul Singh,2025-12-30,49.3,MEDIUM,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00004831,P00883,MP002,Rahul Singh,2025-06-12,60.8,MEDIUM,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00004832,P00883,MP002,Rahul Singh,2025-06-13,45.9,MEDIUM,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00004833,P00883,MP002,Rahul Singh,2026-03-11,65.9,MEDIUM,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00004834,P00884,MP009,Kavita Mehta,2025-06-21,26.8,LOW,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00004835,P00884,MP009,Kavita Mehta,2026-02-04,20.4,LOW,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00004836,P00884,MP009,Kavita Mehta,2026-03-27,29.1,LOW,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00004837,P00884,MP009,Kavita Mehta,2025-12-10,23.0,LOW,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00004838,P00885,MP016,Amit Sharma,2025-06-24,40.9,MEDIUM,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00004839,P00885,MP016,Amit Sharma,2026-03-14,44.6,MEDIUM,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00004840,P00885,MP016,Amit Sharma,2025-10-23,52.3,MEDIUM,Potential duplicate detected,Unreviewed,SYNTHETIC_DEMO
RE00004841,P00885,MP016,Amit Sharma,2026-01-20,50.8,MEDIUM,Delay risk increased,Unreviewed,SYNTHETIC_DEMO
RE00004842,P00885,MP016,Amit Sharma,2026-02-12,39.5,LOW,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00004843,P00886,MP023,Suresh Joshi,2026-06-08,15.3,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00004844,P00886,MP023,Suresh Joshi,2025-04-22,41.2,MEDIUM,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00004845,P00886,MP023,Suresh Joshi,2026-01-25,32.5,LOW,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00004846,P00886,MP023,Suresh Joshi,2026-01-15,14.5,LOW,Routine monitoring review,Unreviewed,SYNTHETIC_DEMO
RE00004847,P00886,MP023,Suresh Joshi,2025-11-22,43.6,MEDIUM,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00004848,P00887,MP030,Deepak Nair,2025-04-06,51.7,MEDIUM,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00004849,P00887,MP030,Deepak Nair,2025-09-25,71.0,HIGH,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00004850,P00887,MP030,Deepak Nair,2025-03-04,77.3,HIGH,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00004851,P00888,MP037,Vikram Singh,2026-06-28,30.9,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00004852,P00888,MP037,Vikram Singh,2026-06-24,26.6,LOW,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00004853,P00888,MP037,Vikram Singh,2026-05-30,32.8,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00004854,P00889,MP044,Manoj Mehta,2025-11-25,64.0,MEDIUM,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00004855,P00889,MP044,Manoj Mehta,2026-01-18,49.6,MEDIUM,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00004856,P00889,MP044,Manoj Mehta,2026-08-02,58.2,MEDIUM,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00004857,P00889,MP044,Manoj Mehta,2025-09-24,70.1,HIGH,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00004858,P00889,MP044,Manoj Mehta,2025-06-15,65.4,MEDIUM,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00004859,P00890,MP051,Neha Sharma,2025-11-07,23.2,LOW,Potential duplicate detected,Unreviewed,SYNTHETIC_DEMO
RE00004860,P00890,MP051,Neha Sharma,2026-05-04,5.0,LOW,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00004861,P00890,MP051,Neha Sharma,2026-08-23,5.0,LOW,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00004862,P00890,MP051,Neha Sharma,2025-12-02,12.9,LOW,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00004863,P00890,MP051,Neha Sharma,2026-06-20,23.3,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00004864,P00890,MP051,Neha Sharma,2026-05-08,32.4,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00004865,P00890,MP051,Neha Sharma,2025-08-27,20.9,LOW,Potential duplicate detected,Unreviewed,SYNTHETIC_DEMO
RE00004866,P00890,MP051,Neha Sharma,2025-12-08,28.6,LOW,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00004867,P00891,MP058,Pooja Joshi,2026-06-19,11.7,LOW,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00004868,P00891,MP058,Pooja Joshi,2026-01-18,33.7,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00004869,P00891,MP058,Pooja Joshi,2025-08-16,22.7,LOW,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00004870,P00891,MP058,Pooja Joshi,2025-10-18,19.6,LOW,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00004871,P00891,MP058,Pooja Joshi,2026-07-31,43.6,MEDIUM,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00004872,P00891,MP058,Pooja Joshi,2025-12-11,27.8,LOW,Delay risk increased,Unreviewed,SYNTHETIC_DEMO
RE00004873,P00892,MP005,Ravi Nair,2025-01-09,5.0,LOW,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00004874,P00892,MP005,Ravi Nair,2026-01-12,8.8,LOW,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00004875,P00892,MP005,Ravi Nair,2025-07-15,28.0,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00004876,P00893,MP012,Nitin Singh,2025-12-26,41.5,MEDIUM,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00004877,P00893,MP012,Nitin Singh,2025-07-05,65.7,MEDIUM,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00004878,P00893,MP012,Nitin Singh,2026-01-21,57.0,MEDIUM,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00004879,P00893,MP012,Nitin Singh,2025-01-21,74.4,HIGH,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00004880,P00893,MP012,Nitin Singh,2025-10-08,70.6,HIGH,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00004881,P00893,MP012,Nitin Singh,2026-05-09,56.0,MEDIUM,Potential duplicate detected,Reviewed,SYNTHETIC_DEMO
RE00004882,P00894,MP019,Anita Mehta,2025-03-14,21.7,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00004883,P00894,MP019,Anita Mehta,2026-05-20,30.8,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00004884,P00894,MP019,Anita Mehta,2026-08-05,11.6,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00004885,P00894,MP019,Anita Mehta,2026-06-21,19.8,LOW,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00004886,P00894,MP019,Anita Mehta,2025-03-14,35.2,LOW,Delay risk increased,Unreviewed,SYNTHETIC_DEMO
RE00004887,P00895,MP026,Meena Sharma,2025-02-04,62.2,MEDIUM,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00004888,P00895,MP026,Meena Sharma,2025-01-29,80.2,HIGH,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00004889,P00895,MP026,Meena Sharma,2025-09-28,72.1,HIGH,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00004890,P00895,MP026,Meena Sharma,2025-02-28,87.6,HIGH,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00004891,P00896,MP033,Priya Joshi,2026-05-03,5.0,LOW,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00004892,P00896,MP033,Priya Joshi,2026-03-03,5.0,LOW,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00004893,P00896,MP033,Priya Joshi,2026-04-04,5.0,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00004894,P00896,MP033,Priya Joshi,2025-11-13,5.0,LOW,Routine monitoring review,Unreviewed,SYNTHETIC_DEMO
RE00004895,P00897,MP040,Arjun Nair,2025-01-17,14.4,LOW,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00004896,P00897,MP040,Arjun Nair,2026-03-30,14.4,LOW,Routine monitoring review,Unreviewed,SYNTHETIC_DEMO
RE00004897,P00897,MP040,Arjun Nair,2026-04-19,5.0,LOW,Potential duplicate detected,Unreviewed,SYNTHETIC_DEMO
RE00004898,P00898,MP047,Rahul Singh,2026-01-15,52.3,MEDIUM,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00004899,P00898,MP047,Rahul Singh,2026-01-26,69.5,MEDIUM,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00004900,P00898,MP047,Rahul Singh,2025-01-09,65.6,MEDIUM,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00004901,P00898,MP047,Rahul Singh,2025-12-13,69.9,MEDIUM,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00004902,P00899,MP054,Kavita Mehta,2025-01-07,22.3,LOW,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00004903,P00899,MP054,Kavita Mehta,2025-04-13,35.2,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00004904,P00899,MP054,Kavita Mehta,2025-05-16,48.6,MEDIUM,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00004905,P00900,MP001,Amit Sharma,2026-07-28,63.0,MEDIUM,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00004906,P00900,MP001,Amit Sharma,2025-02-12,62.7,MEDIUM,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00004907,P00900,MP001,Amit Sharma,2025-02-06,56.2,MEDIUM,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00004908,P00900,MP001,Amit Sharma,2026-07-14,79.1,HIGH,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00004909,P00900,MP001,Amit Sharma,2026-08-03,75.7,HIGH,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00004910,P00900,MP001,Amit Sharma,2025-04-25,56.2,MEDIUM,Delay risk increased,Under Review,SYNTHETIC_DEMO
RE00004911,P00901,MP008,Suresh Joshi,2026-06-15,37.0,LOW,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00004912,P00901,MP008,Suresh Joshi,2025-02-10,44.7,MEDIUM,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00004913,P00901,MP008,Suresh Joshi,2025-11-09,59.3,MEDIUM,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00004914,P00901,MP008,Suresh Joshi,2025-08-23,72.2,HIGH,Potential duplicate detected,Unreviewed,SYNTHETIC_DEMO
RE00004915,P00901,MP008,Suresh Joshi,2025-06-05,74.8,HIGH,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00004916,P00901,MP008,Suresh Joshi,2025-09-21,76.1,HIGH,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00004917,P00902,MP015,Deepak Nair,2026-01-31,8.5,LOW,Delay risk increased,Unreviewed,SYNTHETIC_DEMO
RE00004918,P00902,MP015,Deepak Nair,2025-04-22,31.1,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00004919,P00902,MP015,Deepak Nair,2025-01-21,9.9,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00004920,P00902,MP015,Deepak Nair,2025-09-17,13.5,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00004921,P00902,MP015,Deepak Nair,2026-02-04,13.6,LOW,Routine monitoring review,Unreviewed,SYNTHETIC_DEMO
RE00004922,P00902,MP015,Deepak Nair,2025-10-10,41.2,MEDIUM,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00004923,P00902,MP015,Deepak Nair,2025-03-27,33.3,LOW,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00004924,P00903,MP022,Vikram Singh,2025-09-27,5.8,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00004925,P00903,MP022,Vikram Singh,2026-04-23,7.0,LOW,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00004926,P00903,MP022,Vikram Singh,2025-01-03,7.5,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00004927,P00903,MP022,Vikram Singh,2025-05-26,25.1,LOW,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00004928,P00903,MP022,Vikram Singh,2026-03-05,14.8,LOW,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00004929,P00904,MP029,Manoj Mehta,2025-04-29,5.0,LOW,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00004930,P00904,MP029,Manoj Mehta,2025-10-22,10.1,LOW,Delay risk increased,Unreviewed,SYNTHETIC_DEMO
RE00004931,P00904,MP029,Manoj Mehta,2025-07-18,11.9,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00004932,P00904,MP029,Manoj Mehta,2026-02-15,18.5,LOW,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00004933,P00905,MP036,Neha Sharma,2025-05-14,26.1,LOW,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00004934,P00905,MP036,Neha Sharma,2026-03-02,26.9,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00004935,P00905,MP036,Neha Sharma,2026-04-19,34.1,LOW,Potential duplicate detected,Unreviewed,SYNTHETIC_DEMO
RE00004936,P00905,MP036,Neha Sharma,2025-07-02,53.9,MEDIUM,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00004937,P00905,MP036,Neha Sharma,2025-01-12,44.6,MEDIUM,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00004938,P00905,MP036,Neha Sharma,2025-03-05,60.3,MEDIUM,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00004939,P00905,MP036,Neha Sharma,2026-03-19,53.7,MEDIUM,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00004940,P00905,MP036,Neha Sharma,2026-01-31,52.1,MEDIUM,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00004941,P00906,MP043,Pooja Joshi,2025-06-28,59.1,MEDIUM,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00004942,P00906,MP043,Pooja Joshi,2025-06-10,41.5,MEDIUM,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00004943,P00906,MP043,Pooja Joshi,2026-03-21,43.8,MEDIUM,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00004944,P00906,MP043,Pooja Joshi,2025-03-13,67.1,MEDIUM,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00004945,P00906,MP043,Pooja Joshi,2025-09-21,69.4,MEDIUM,Delay risk increased,Unreviewed,SYNTHETIC_DEMO
RE00004946,P00906,MP043,Pooja Joshi,2026-03-01,85.6,HIGH,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00004947,P00907,MP050,Ravi Nair,2025-11-25,5.0,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00004948,P00907,MP050,Ravi Nair,2025-11-08,6.5,LOW,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00004949,P00907,MP050,Ravi Nair,2026-04-18,14.1,LOW,Routine monitoring review,Unreviewed,SYNTHETIC_DEMO
RE00004950,P00907,MP050,Ravi Nair,2026-04-07,14.2,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00004951,P00907,MP050,Ravi Nair,2025-06-21,24.0,LOW,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00004952,P00908,MP057,Nitin Singh,2025-06-28,9.4,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00004953,P00908,MP057,Nitin Singh,2025-08-09,25.7,LOW,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00004954,P00908,MP057,Nitin Singh,2026-04-25,25.6,LOW,Delay risk increased,Under Review,SYNTHETIC_DEMO
RE00004955,P00908,MP057,Nitin Singh,2025-09-21,34.6,LOW,Potential duplicate detected,Reviewed,SYNTHETIC_DEMO
RE00004956,P00909,MP004,Anita Mehta,2025-05-12,5.0,LOW,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00004957,P00909,MP004,Anita Mehta,2025-10-24,5.0,LOW,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00004958,P00909,MP004,Anita Mehta,2025-12-17,5.0,LOW,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00004959,P00909,MP004,Anita Mehta,2025-07-13,5.0,LOW,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00004960,P00909,MP004,Anita Mehta,2025-01-29,5.0,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00004961,P00910,MP011,Meena Sharma,2026-01-29,39.1,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00004962,P00910,MP011,Meena Sharma,2025-10-28,37.7,LOW,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00004963,P00910,MP011,Meena Sharma,2026-07-21,47.8,MEDIUM,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00004964,P00910,MP011,Meena Sharma,2025-09-12,40.8,MEDIUM,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00004965,P00911,MP018,Priya Joshi,2025-08-12,13.1,LOW,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00004966,P00911,MP018,Priya Joshi,2025-06-15,10.2,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00004967,P00911,MP018,Priya Joshi,2026-03-02,18.1,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00004968,P00911,MP018,Priya Joshi,2026-01-13,24.8,LOW,Data consistency check triggered,Unreviewed,SYNTHETIC_DEMO
RE00004969,P00912,MP025,Arjun Nair,2025-01-06,5.0,LOW,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00004970,P00912,MP025,Arjun Nair,2026-07-15,12.1,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00004971,P00912,MP025,Arjun Nair,2026-04-23,10.1,LOW,Routine monitoring review,Reviewed,SYNTHETIC_DEMO
RE00004972,P00912,MP025,Arjun Nair,2025-03-21,26.3,LOW,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00004973,P00912,MP025,Arjun Nair,2026-05-09,33.0,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00004974,P00912,MP025,Arjun Nair,2025-04-02,20.6,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00004975,P00912,MP025,Arjun Nair,2026-06-26,25.3,LOW,Delay risk increased,Unreviewed,SYNTHETIC_DEMO
RE00004976,P00912,MP025,Arjun Nair,2025-08-05,14.4,LOW,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00004977,P00913,MP032,Rahul Singh,2025-06-14,14.5,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00004978,P00913,MP032,Rahul Singh,2026-07-13,8.2,LOW,Data consistency check triggered,Under Review,SYNTHETIC_DEMO
RE00004979,P00913,MP032,Rahul Singh,2025-12-12,19.8,LOW,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00004980,P00913,MP032,Rahul Singh,2026-01-21,34.2,LOW,Potential duplicate detected,Under Review,SYNTHETIC_DEMO
RE00004981,P00913,MP032,Rahul Singh,2026-01-09,14.9,LOW,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00004982,P00914,MP039,Kavita Mehta,2025-05-21,51.1,MEDIUM,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00004983,P00914,MP039,Kavita Mehta,2025-03-07,53.7,MEDIUM,Potential duplicate detected,Reviewed,SYNTHETIC_DEMO
RE00004984,P00914,MP039,Kavita Mehta,2025-04-05,49.1,MEDIUM,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00004985,P00914,MP039,Kavita Mehta,2025-09-29,70.6,HIGH,Routine monitoring review,Unreviewed,SYNTHETIC_DEMO
RE00004986,P00914,MP039,Kavita Mehta,2025-05-23,68.8,MEDIUM,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00004987,P00914,MP039,Kavita Mehta,2025-01-15,85.3,HIGH,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00004988,P00914,MP039,Kavita Mehta,2026-08-03,63.3,MEDIUM,Delay risk increased,Reviewed,SYNTHETIC_DEMO
RE00004989,P00915,MP046,Amit Sharma,2025-07-13,5.0,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00004990,P00915,MP046,Amit Sharma,2026-06-23,25.3,LOW,Risk score recalibrated after new progress snapshot,Unreviewed,SYNTHETIC_DEMO
RE00004991,P00915,MP046,Amit Sharma,2025-06-18,14.6,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00004992,P00915,MP046,Amit Sharma,2026-03-04,18.3,LOW,Data consistency check triggered,Reviewed,SYNTHETIC_DEMO
RE00004993,P00915,MP046,Amit Sharma,2025-04-13,35.6,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00004994,P00915,MP046,Amit Sharma,2025-03-04,29.6,LOW,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00004995,P00916,MP053,Suresh Joshi,2026-05-03,6.7,LOW,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00004996,P00916,MP053,Suresh Joshi,2025-09-30,5.0,LOW,Cost anomaly signal increased,Under Review,SYNTHETIC_DEMO
RE00004997,P00916,MP053,Suresh Joshi,2025-10-26,8.1,LOW,Cost anomaly signal increased,Unreviewed,SYNTHETIC_DEMO
RE00004998,P00916,MP053,Suresh Joshi,2026-01-21,12.1,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00004999,P00916,MP053,Suresh Joshi,2026-01-26,24.6,LOW,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00005000,P00916,MP053,Suresh Joshi,2026-06-03,23.4,LOW,Risk score recalibrated after new progress snapshot,Reviewed,SYNTHETIC_DEMO
RE00005001,P00916,MP053,Suresh Joshi,2026-06-03,32.0,LOW,Routine monitoring review,Under Review,SYNTHETIC_DEMO
RE00005002,P00917,MP060,Deepak Nair,2025-11-04,5.0,LOW,Cost anomaly signal increased,Reviewed,SYNTHETIC_DEMO
RE00005003,P00917,MP060,Deepak Nair,2026-07-08,5.0,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00005004,P00917,MP060,Deepak Nair,2025-11-15,5.0,LOW,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00005005,P00917,MP060,Deepak Nair,2025-10-19,17.7,LOW,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00005006,P00917,MP060,Deepak Nair,2026-07-26,13.8,LOW,Progress-expenditure mismatch detected,Under Review,SYNTHETIC_DEMO
RE00005007,P00917,MP060,Deepak Nair,2025-12-11,38.2,LOW,Potential duplicate detected,Reviewed,SYNTHETIC_DEMO
RE00005008,P00918,MP007,Vikram Singh,2025-06-15,37.8,LOW,Progress-expenditure mismatch detected,Reviewed,SYNTHETIC_DEMO
RE00005009,P00918,MP007,Vikram Singh,2026-04-15,41.6,MEDIUM,Potential duplicate detected,Reviewed,SYNTHETIC_DEMO
RE00005010,P00918,MP007,Vikram Singh,2026-07-11,38.5,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
RE00005011,P00918,MP007,Vikram Singh,2025-12-15,40.3,MEDIUM,Progress-expenditure mismatch detected,Unreviewed,SYNTHETIC_DEMO
RE00005012,P00918,MP007,Vikram Singh,2025-10-14,63.7,MEDIUM,Routine monitoring review,Unreviewed,SYNTHETIC_DEMO
RE00005013,P00918,MP007,Vikram Singh,2025-04-26,68.7,MEDIUM,Potential duplicate detected,Reviewed,SYNTHETIC_DEMO
RE00005014,P00919,MP014,Manoj Mehta,2025-05-02,32.9,LOW,Risk score recalibrated after new progress snapshot,Under Review,SYNTHETIC_DEMO
